rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0073.jpg,29.2,0.7182,0.5563,0.8,1.0,5,4,False,True
2,frame_0129.jpg,51.6,0.7072,0.8223,0.4,0.88,3,2,False,True
3,frame_0128.jpg,51.2,0.6895,0.6829,0.6,0.84,3,3,False,False
4,frame_0031.jpg,12.4,0.6809,0.6019,0.6,1.0,4,3,False,True
5,frame_0289.jpg,115.6,0.6749,0.8057,0.4,0.76,3,2,False,True
6,frame_0207.jpg,82.8,0.66,0.0,0.0,0.8,0,0,True,True
7,frame_0079.jpg,31.6,0.6433,0.6066,0.6,0.8,6,3,False,True
8,frame_0001.jpg,0.4,0.6404,0.6409,0.4,1.0,3,2,False,True
9,frame_0071.jpg,28.4,0.64,0.64,0.4,1.0,4,2,False,False
10,frame_0130.jpg,52.0,0.6341,0.5401,0.6,0.92,3,3,False,False
11,frame_0306.jpg,122.4,0.623,0.5499,1.0,0.24,7,5,False,True
12,frame_0293.jpg,117.2,0.6096,0.5552,0.6,0.76,4,3,False,False
13,frame_0072.jpg,28.8,0.6089,0.5778,0.4,1.0,5,2,False,False
14,frame_0376.jpg,150.4,0.6038,0.5437,1.0,0.16,6,5,False,True
15,frame_0070.jpg,28.0,0.6022,0.4445,0.6,1.0,5,3,False,False
16,frame_0184.jpg,73.6,0.5982,0.6845,0.8,0.08,4,4,False,True
17,frame_0375.jpg,150.0,0.5978,0.6355,0.8,0.2,6,4,False,False
18,frame_0169.jpg,67.6,0.595,0.622,0.6,0.52,4,3,False,True
19,frame_0304.jpg,121.6,0.5933,0.8185,0.4,0.32,2,2,False,False
20,frame_0291.jpg,116.4,0.5921,0.6082,0.4,0.84,5,2,False,False
21,frame_0025.jpg,10.0,0.5854,0.6508,0.2,1.0,1,1,False,True
22,frame_0087.jpg,34.8,0.5829,0.7339,0.4,0.48,2,2,False,False
23,frame_0000.jpg,0.0,0.5795,0.519,0.4,1.0,4,2,False,False
24,frame_0183.jpg,73.2,0.5751,0.6542,0.8,0.04,4,4,False,False
25,frame_0078.jpg,31.2,0.5625,0.5489,0.4,0.84,3,2,False,False
26,frame_0367.jpg,146.8,0.5623,0.6125,0.8,0.08,7,4,False,False
27,frame_0074.jpg,29.6,0.5592,0.4783,0.4,1.0,5,2,False,False
28,frame_0069.jpg,27.6,0.5572,0.3544,0.6,1.0,5,3,False,False
29,frame_0286.jpg,114.4,0.5565,0.6171,0.4,0.64,3,2,False,False
30,frame_0330.jpg,132.0,0.5559,0.6159,0.8,0.04,7,4,False,False
31,frame_0294.jpg,117.6,0.5545,0.4611,0.6,0.72,5,3,False,False
32,frame_0125.jpg,50.0,0.5544,0.4608,0.6,0.72,4,3,False,False
33,frame_0232.jpg,92.8,0.5506,0.5411,0.8,0.2,4,4,False,False
34,frame_0292.jpg,116.8,0.5499,0.4198,0.6,0.8,5,3,False,False
35,frame_0033.jpg,13.2,0.5495,0.459,0.4,1.0,3,2,False,False
36,frame_0029.jpg,11.6,0.5467,0.4533,0.4,1.0,3,2,False,False
37,frame_0010.jpg,4.0,0.5437,0.5674,0.2,1.0,1,1,False,False
38,frame_0126.jpg,50.4,0.5435,0.4231,0.6,0.76,6,3,False,False
39,frame_0027.jpg,10.8,0.5393,0.5586,0.2,1.0,1,1,False,False
40,frame_0133.jpg,53.2,0.5392,0.5584,0.2,1.0,2,1,False,False
